reviewer;paper
Marino Miculan;Systematic test of time-triggered communication architectures using a component-based approach.
Ho Seok Ahn;Systematic test of time-triggered communication architectures using a component-based approach.
Jason Ziglar;Space and satellite technology.
Kirk MacTavish;Space and satellite technology.
Chinmay Chakraborty;Space and satellite technology.
Stefano Marco Maria De Rossi;Lightning climatology for the eastern Alpine region on the kilometer scale with daily resolution.
Jens Volkert;Lightning climatology for the eastern Alpine region on the kilometer scale with daily resolution.
Harald Pichler;Lightning climatology for the eastern Alpine region on the kilometer scale with daily resolution.
Keum-Shik Hong;Optimale Auslegung von getriebelosen, permanentmagneterregten Windgeneratoren mit Zahnspulenwicklung und massivem Rotorjoch.
Junlong Guo;Optimale Auslegung von getriebelosen, permanentmagneterregten Windgeneratoren mit Zahnspulenwicklung und massivem Rotorjoch.
Udo Bachhiesl;Optimale Auslegung von getriebelosen, permanentmagneterregten Windgeneratoren mit Zahnspulenwicklung und massivem Rotorjoch.
Nathan Cassee;Spread spectrum techniques for Class-D audio amplifiers to reduce EMI.
Tomasz Niedzielski;Spread spectrum techniques for Class-D audio amplifiers to reduce EMI.
Andrea Caiti;Spread spectrum techniques for Class-D audio amplifiers to reduce EMI.
Margit Noll;Vom COMPI-16 bis zur HOME-Station: 40 Jahre hardwarenahe Ausbildung am Institut für Computertechnik am Beispiel ausgewählter Projekte im Curriculum Elektrotechnik und Informationstechnik.
James Hefford;Vom COMPI-16 bis zur HOME-Station: 40 Jahre hardwarenahe Ausbildung am Institut für Computertechnik am Beispiel ausgewählter Projekte im Curriculum Elektrotechnik und Informationstechnik.
Kristoffer Gryte;Vom COMPI-16 bis zur HOME-Station: 40 Jahre hardwarenahe Ausbildung am Institut für Computertechnik am Beispiel ausgewählter Projekte im Curriculum Elektrotechnik und Informationstechnik.
Laura E. Ray;Highlighting the distribution path of transient disturbances by near field scanning techniques.
Cristian S. Calude;Highlighting the distribution path of transient disturbances by near field scanning techniques.
Damien Guihen;Highlighting the distribution path of transient disturbances by near field scanning techniques.
Michal Munk;Piezo-Aktoren und -Sensoren in der Rastersondenmikroskopie.
Andreas Springer;Piezo-Aktoren und -Sensoren in der Rastersondenmikroskopie.
Pao-Yu Oei;Piezo-Aktoren und -Sensoren in der Rastersondenmikroskopie.
Lydia E. Kavraki;Achieving signal power amplification using energetically passive devices.
Maria Chiara Carrozza;Achieving signal power amplification using energetically passive devices.
Kevin Burn;Achieving signal power amplification using energetically passive devices.
David M. Fratantoni;Zur Weiterentwicklung der Morse-Telegraphie durch Werner von Siemens' Induktionstelegraphie und verbesserte Magnetsysteme.
Christof Klausecker;Zur Weiterentwicklung der Morse-Telegraphie durch Werner von Siemens' Induktionstelegraphie und verbesserte Magnetsysteme.
Markus Reichhartinger;Zur Weiterentwicklung der Morse-Telegraphie durch Werner von Siemens' Induktionstelegraphie und verbesserte Magnetsysteme.
Marian Bubak;Numerical analysis of steady-state operation of three-phase induction machines by an approximate frequency domain technique
Simon Schwaiger;Numerical analysis of steady-state operation of three-phase induction machines by an approximate frequency domain technique
Catalin Gavriluta;Numerical analysis of steady-state operation of three-phase induction machines by an approximate frequency domain technique
Nathan Cassee;Gestural interaction in the pervasive computing landscape.
Tomasz Niedzielski;Gestural interaction in the pervasive computing landscape.
Luca Geatti;Gestural interaction in the pervasive computing landscape.
Georg Achleitner;Bericht vom 9. ETG-/FNN-Tutorial Schutz- und Leittechnik 2016.
Natalia Kryvinska;Bericht vom 9. ETG-/FNN-Tutorial Schutz- und Leittechnik 2016.
Gleifer Vaz Alves;Bericht vom 9. ETG-/FNN-Tutorial Schutz- und Leittechnik 2016.
Nathaniel Fairfield;Ermittlung von Resonanzfaktoren zur Oberschwingungsbewertung nach VDE-AR-N 4110 basierend auf Netzimpedanzmessungen.
Narendra Singh Chandel;Ermittlung von Resonanzfaktoren zur Oberschwingungsbewertung nach VDE-AR-N 4110 basierend auf Netzimpedanzmessungen.
Nadire Cavus;Ermittlung von Resonanzfaktoren zur Oberschwingungsbewertung nach VDE-AR-N 4110 basierend auf Netzimpedanzmessungen.
Dan Levine;Mechanical stress and deformation in the rotors of a high-speed PMSM and IM.
Tomonari Furukawa;Mechanical stress and deformation in the rotors of a high-speed PMSM and IM.
Wen-Hua Chen;Mechanical stress and deformation in the rotors of a high-speed PMSM and IM.
Matthew Powers;Verzerrungsarmes gmC-Filter 3. Ordnung in 120 nm CMOS.
Subir Kumar Chakraborty;Verzerrungsarmes gmC-Filter 3. Ordnung in 120 nm CMOS.
John Lai;Verzerrungsarmes gmC-Filter 3. Ordnung in 120 nm CMOS.
Sonja Wogrin;Observer-based sliding mode control of hydraulic cylinders in the presence of unknown load forces.
Pedro F. Santana;Observer-based sliding mode control of hydraulic cylinders in the presence of unknown load forces.
Otto Koudelka;Observer-based sliding mode control of hydraulic cylinders in the presence of unknown load forces.
Barry Lennox;Improving energy community interoperability by utilizing Web of Things.
Brittany A. Duncan;Improving energy community interoperability by utilizing Web of Things.
Jeonghyung Park;Improving energy community interoperability by utilizing Web of Things.
Oliver Kolb;Systematische Untersuchungen zur Funktionsweise des Kantenabsorbers als Modenbremse.
Toshio Tsuji;Systematische Untersuchungen zur Funktionsweise des Kantenabsorbers als Modenbremse.
Manfred Wurm;Systematische Untersuchungen zur Funktionsweise des Kantenabsorbers als Modenbremse.
Felix Krall;Active optical networks: traffic management.
Robin R. Murphy;Active optical networks: traffic management.
Michael Smart;Active optical networks: traffic management.
Gabriele Bruzzone;Innovative Entwicklungstools zur effizienten Auslegung von Hybrid- und Elektrofahrzeugen.
Emiliano Mancini;Innovative Entwicklungstools zur effizienten Auslegung von Hybrid- und Elektrofahrzeugen.
Hanumant Singh;Innovative Entwicklungstools zur effizienten Auslegung von Hybrid- und Elektrofahrzeugen.
Thomas Richardson 0002;Flexibler Gebäudebetrieb durch speichergestützte Lastverschiebungen.
Aydan M. Erkmen;Flexibler Gebäudebetrieb durch speichergestützte Lastverschiebungen.
Eric Gallimore;Flexibler Gebäudebetrieb durch speichergestützte Lastverschiebungen.
Enrico Stoll;Nachweis der Machbarkeit einer Kurzzeitvorhersage lokaler PV-Produktion basierend auf räumlich verteilten Wechselrichter-Daten.
Go Iwai;Nachweis der Machbarkeit einer Kurzzeitvorhersage lokaler PV-Produktion basierend auf räumlich verteilten Wechselrichter-Daten.
Jürgen Fabian;Nachweis der Machbarkeit einer Kurzzeitvorhersage lokaler PV-Produktion basierend auf räumlich verteilten Wechselrichter-Daten.
Artur Jachimowicz;Implementierung einer kombinierten Planungs- und Echtzeitsteuerung proaktiver Prosumer-Agenten für lokale Energie- und Flexibilitätsmärkte.
Nicole Radde;Implementierung einer kombinierten Planungs- und Echtzeitsteuerung proaktiver Prosumer-Agenten für lokale Energie- und Flexibilitätsmärkte.
Sebastian Schüller;Implementierung einer kombinierten Planungs- und Echtzeitsteuerung proaktiver Prosumer-Agenten für lokale Energie- und Flexibilitätsmärkte.
Javier Ibañez-Guzmán;Collaborative engineering and testing of smart grid automation applications.
Paul E. Rybski;Collaborative engineering and testing of smart grid automation applications.
Kurt Lamedschwandner;Collaborative engineering and testing of smart grid automation applications.
Tristan Perez;Von der Blitzentladung bis zu ESD-Testverfahren - Beanspruchungen von Geräten und integrierten Schaltungen sowie normative Anforderungen.
Aniello Murano;Von der Blitzentladung bis zu ESD-Testverfahren - Beanspruchungen von Geräten und integrierten Schaltungen sowie normative Anforderungen.
Roland Chapuis;Von der Blitzentladung bis zu ESD-Testverfahren - Beanspruchungen von Geräten und integrierten Schaltungen sowie normative Anforderungen.
Paul Timothy Furgale;Open-source design of integrated circuits.
Gleifer Vaz Alves;Open-source design of integrated circuits.
Alberto Pettorossi;Open-source design of integrated circuits.
Adam Schnellbach;Mikrofluidisches Microarray für die Einzelzellanalyse.
Kerstin Schneider-Hornstein;Mikrofluidisches Microarray für die Einzelzellanalyse.
Michael Milford;Mikrofluidisches Microarray für die Einzelzellanalyse.
Nur Izura Udzir;An efficient approach to monitoring environmental conditions using a wireless sensor network and NodeMCU.
Martin Horn;An efficient approach to monitoring environmental conditions using a wireless sensor network and NodeMCU.
Gerhard Huth;An efficient approach to monitoring environmental conditions using a wireless sensor network and NodeMCU.
Hui Li;HF/UHF dual band RFID transponders for an information-driven public transportation system.
Maria Schrammel;HF/UHF dual band RFID transponders for an information-driven public transportation system.
Eduardo Cabrera;HF/UHF dual band RFID transponders for an information-driven public transportation system.
Boyana Norris;Towards the Future Internet: virtual networks for convergent services.
Parminder Kaur;Towards the Future Internet: virtual networks for convergent services.
Ingi Helgason;Towards the Future Internet: virtual networks for convergent services.
Giulio Reina;NEFI - New Energy for Industry.
Zizheng Zhai;NEFI - New Energy for Industry.
Jonghwi Kim;NEFI - New Energy for Industry.
Boyana Norris;Komponenten der Messunsicherheit eines Faraday-Magnetometers.
Mario Coppo;Komponenten der Messunsicherheit eines Faraday-Magnetometers.
Krzysztof Banas;Komponenten der Messunsicherheit eines Faraday-Magnetometers.
Geert Wets;Analyse von unterschiedlichen Fahrzyklen für den Einsatz von Elektrofahrzeugen.
Jaime Valls Miró;Analyse von unterschiedlichen Fahrzyklen für den Einsatz von Elektrofahrzeugen.
Anselmo Antunes Montenegro;Analyse von unterschiedlichen Fahrzyklen für den Einsatz von Elektrofahrzeugen.
Adam Schnellbach;Using formal methods for ensuring quality requirements of systems.
Liang Ding 0001;Using formal methods for ensuring quality requirements of systems.
Haibo Gao;Using formal methods for ensuring quality requirements of systems.
Fernando Caballero;Dekarbonisierung in Salzburgs Skigebieten - Entwicklung von Optimierungsalgorithmen und Energiemanagementsystemen zur Steigerung der Energieeffizienz, Minimierung von Emissionen und Optimierung von Flexibilitäten.
Kenji Tahara;Dekarbonisierung in Salzburgs Skigebieten - Entwicklung von Optimierungsalgorithmen und Energiemanagementsystemen zur Steigerung der Energieeffizienz, Minimierung von Emissionen und Optimierung von Flexibilitäten.
Arianne Meijer-van de Griend;Dekarbonisierung in Salzburgs Skigebieten - Entwicklung von Optimierungsalgorithmen und Energiemanagementsystemen zur Steigerung der Energieeffizienz, Minimierung von Emissionen und Optimierung von Flexibilitäten.
Ingi Helgason;Integration solutions for reconfigurable multi-standard wireless transceivers.
Massimo Bartoletti;Integration solutions for reconfigurable multi-standard wireless transceivers.
Johannes Kathan;Integration solutions for reconfigurable multi-standard wireless transceivers.
Haibo Qu;Design of hairpin windings considering the transient potential distribution.
Ana Cortés;Design of hairpin windings considering the transient potential distribution.
Manfred Kaltenbacher;Design of hairpin windings considering the transient potential distribution.
Manfred Schrödl;Combining decision making and dynamical systems for monitoring and executing manipulation tasks.
Luis Corral;Combining decision making and dynamical systems for monitoring and executing manipulation tasks.
Viv Kendon;Combining decision making and dynamical systems for monitoring and executing manipulation tasks.
Pradeep Setlur;Operational constraints of zero-sequence current feeding in bearingless PM synchronous machines.
Stephen D. McPhail;Operational constraints of zero-sequence current feeding in bearingless PM synchronous machines.
Graham M. Brooker;Operational constraints of zero-sequence current feeding in bearingless PM synchronous machines.
Zizheng Zhai;Use cases also exist for attackers - how to foster the concept of misuse cases.
Davy Janssens;Use cases also exist for attackers - how to foster the concept of misuse cases.
C. David Remy;Use cases also exist for attackers - how to foster the concept of misuse cases.
Simon Schwaiger;EMC performance measurements for professional wireless microphone systems.
Henrik Andreasson;EMC performance measurements for professional wireless microphone systems.
Alessandro Filisetti;EMC performance measurements for professional wireless microphone systems.
Bin Guo 0010;SeCoS: Web of Things platform based on a microservices architecture and support of time-awareness.
Diego N. Brandão;SeCoS: Web of Things platform based on a microservices architecture and support of time-awareness.
Anton Wijs;SeCoS: Web of Things platform based on a microservices architecture and support of time-awareness.
Thomas Klatzer;Investigation of the dynamic rating of tubular busbars in substations.
Heidi A. Taboada;Investigation of the dynamic rating of tubular busbars in substations.
Fabrizio Genovese;Investigation of the dynamic rating of tubular busbars in substations.
Hermann de Meer;Vibroakustische Überwachung des Schienenzustandes durch Regelfahrzeuge im Straßnbahnnetz.
Will N. Browne;Vibroakustische Überwachung des Schienenzustandes durch Regelfahrzeuge im Straßnbahnnetz.
Felipe A. W. Belo;Vibroakustische Überwachung des Schienenzustandes durch Regelfahrzeuge im Straßnbahnnetz.
José C. Riquelme;Druckluftkabel zur Reduktion der Übertragungsverluste in Mittel- und Hochspannungsnetzen.
Tomasz P. Zielinski;Druckluftkabel zur Reduktion der Übertragungsverluste in Mittel- und Hochspannungsnetzen.
Amir M. Ghalamzan E.;Druckluftkabel zur Reduktion der Übertragungsverluste in Mittel- und Hochspannungsnetzen.
Alexander A. Schmidt;Ladungsträgerbasierte Modellierung von Teilentladungsprozessen in Runddrahtwicklungen umrichtergespeister Niederspannungsmaschinen.
Philipp Krüsi;Ladungsträgerbasierte Modellierung von Teilentladungsprozessen in Runddrahtwicklungen umrichtergespeister Niederspannungsmaschinen.
Adam L. Houston;Ladungsträgerbasierte Modellierung von Teilentladungsprozessen in Runddrahtwicklungen umrichtergespeister Niederspannungsmaschinen.
Andrea Munafò;From cell level to system level: efficient design for optimised energy storage systems.
Isabella Mastroeni;From cell level to system level: efficient design for optimised energy storage systems.
Christof Klausecker;From cell level to system level: efficient design for optimised energy storage systems.
Adam Schnellbach;Development trends in robotics.
David Cano-Tirado;Development trends in robotics.
Javier Cremona;Development trends in robotics.
Luis Merino;Wissensrepräsentation für das adaptive Eigenheim im Kontext von Smart Cities.
Hüseyin Uzunboylu;Wissensrepräsentation für das adaptive Eigenheim im Kontext von Smart Cities.
Piotr Skrzypczynski;Wissensrepräsentation für das adaptive Eigenheim im Kontext von Smart Cities.
Vikash Sachan;Forschung, Innovation, Technologie: FIT.
Ritesh Kumar Mishra;Forschung, Innovation, Technologie: FIT.
Aleks Kissinger;Forschung, Innovation, Technologie: FIT.
Fan-Tien Cheng;Erratum to: Analytische Ermittlung des Nutschlitzanteils der Stator-Rotor-Kapazität zur Vorausberechnung und Reduzierung von Lagerspannungen in elektrischen Maschinen.
Jianwei Zhang 0001;Erratum to: Analytische Ermittlung des Nutschlitzanteils der Stator-Rotor-Kapazität zur Vorausberechnung und Reduzierung von Lagerspannungen in elektrischen Maschinen.
Fernando Alfredo Auat Cheeín;Erratum to: Analytische Ermittlung des Nutschlitzanteils der Stator-Rotor-Kapazität zur Vorausberechnung und Reduzierung von Lagerspannungen in elektrischen Maschinen.
Federico Coffele;Content generation for 3D video/TV.
Ehrentraud Hager;Content generation for 3D video/TV.
M. Manzur Murshed;Content generation for 3D video/TV.
Pere Ridao;Analyzing the environmental impacts of a 145 kV GIS over its complete lifecycle.
Eduardo Bayo;Analyzing the environmental impacts of a 145 kV GIS over its complete lifecycle.
Gustavo Medeiros Freitas;Analyzing the environmental impacts of a 145 kV GIS over its complete lifecycle.
David M. Fratantoni;Verhalten von Windkraftanlagen mit doppelt speisenden Asynchrongeneratoren (DFIG) bei Kurzschlüssen und anderen Netzfehlern.
Manuel Kubicka;Verhalten von Windkraftanlagen mit doppelt speisenden Asynchrongeneratoren (DFIG) bei Kurzschlüssen und anderen Netzfehlern.
Sonja Wogrin;Verhalten von Windkraftanlagen mit doppelt speisenden Asynchrongeneratoren (DFIG) bei Kurzschlüssen und anderen Netzfehlern.
Peter Paul Beran;A modular and scalable system for electromagnetic compatibility testing of integrated circuits.
Martin Flatscher;A modular and scalable system for electromagnetic compatibility testing of integrated circuits.
Tommaso Lenzi;A modular and scalable system for electromagnetic compatibility testing of integrated circuits.
Arturo L. Rankin;Aspects of partially automated DevOps cycles and requirements for tracking in aerospace applications.
Jesse Pentzer;Aspects of partially automated DevOps cycles and requirements for tracking in aerospace applications.
Tomás Svoboda;Aspects of partially automated DevOps cycles and requirements for tracking in aerospace applications.
Padmavathi Kora;An innovative FDIR approach for the power supply of the PRETTY SDR satellite payload.
Michael J. Dinneen;An innovative FDIR approach for the power supply of the PRETTY SDR satellite payload.
Kim G. Larsen;An innovative FDIR approach for the power supply of the PRETTY SDR satellite payload.
Justin Scheifflee;Komponentensicherheit.
David Hyunchul Shim;Komponentensicherheit.
Kent Rosser;Komponentensicherheit.
Lahcène Mitiche;CIGRE Austria Next Generation Network.
Yurong Guan;CIGRE Austria Next Generation Network.
John Biddiscombe;CIGRE Austria Next Generation Network.
Benedetto Allotta;Potential analyses for dynamic rating optimization on basis of four years of operational experience in Austria.
Andreas Birk 0002;Potential analyses for dynamic rating optimization on basis of four years of operational experience in Austria.
Giovanni Aloisio;Potential analyses for dynamic rating optimization on basis of four years of operational experience in Austria.
Lazaros Nalpantidis;Open 5G campus networks: key drivers for 6G innovations.
Ferruccio Damiani;Open 5G campus networks: key drivers for 6G innovations.
Kirstin Peters;Open 5G campus networks: key drivers for 6G innovations.
Jordan Brindza;Verteilte kooperative modellprädiktive Temperaturregelung für komplexe Gebäude.
Jiakai Li;Verteilte kooperative modellprädiktive Temperaturregelung für komplexe Gebäude.
Margherita Zorzi;Verteilte kooperative modellprädiktive Temperaturregelung für komplexe Gebäude.
Claudio Rossi 0001;A bulk acoustic wave(BAW)-based sensor node for automotive wireless sensor networks.
Shivali Amit Wagle;A bulk acoustic wave(BAW)-based sensor node for automotive wireless sensor networks.
Martin M. Hanczyc;A bulk acoustic wave(BAW)-based sensor node for automotive wireless sensor networks.
John P. Ryan 0001;Emulation des Funkkanals und des Transponders in UHF-Mautsystemen.
Bernhard Auinger;Emulation des Funkkanals und des Transponders in UHF-Mautsystemen.
Daobilige Su;Emulation des Funkkanals und des Transponders in UHF-Mautsystemen.
Daniela Rus;Design of a synchronous reluctance rotor for the stator of an 11 kW induction machine.
Nauman Aslam;Design of a synchronous reluctance rotor for the stator of an 11 kW induction machine.
Pao-Yu Oei;Design of a synchronous reluctance rotor for the stator of an 11 kW induction machine.
Johann Schütz;Multilateral remedial actions and the proposal for the cost sharing among European transmission system operators (TSOs): lessons learnt from 25.03.2013 (case study).
Lefan Guo;Multilateral remedial actions and the proposal for the cost sharing among European transmission system operators (TSOs): lessons learnt from 25.03.2013 (case study).
Larry H. Matthies;Multilateral remedial actions and the proposal for the cost sharing among European transmission system operators (TSOs): lessons learnt from 25.03.2013 (case study).
Alois Zoitl;Elektromagnetischer Energiewandler auf Basis des Klauenpol-Prinzips.
Carlos Sagüés;Elektromagnetischer Energiewandler auf Basis des Klauenpol-Prinzips.
Butler Hine;Elektromagnetischer Energiewandler auf Basis des Klauenpol-Prinzips.
Daniel Dietz;Rotierender optischer Positions- und Winkelsensor.
Jens Hilljegerdes;Rotierender optischer Positions- und Winkelsensor.
Stefano Roccella;Rotierender optischer Positions- und Winkelsensor.
Rajkishan Arikapudi;Optical burst switched (OBS) systems with segmentation-based dropping.
Gürsel Serpen;Optical burst switched (OBS) systems with segmentation-based dropping.
Lian Lian;Optical burst switched (OBS) systems with segmentation-based dropping.
Richard M. Murray;Energieträgerübergreifende Planung und Analyse von Energiesystemen.
Mauro Sbragaglia;Energieträgerübergreifende Planung und Analyse von Energiesystemen.
Mohammad Reza Keyvanpour;Energieträgerübergreifende Planung und Analyse von Energiesystemen.
Maurice H. ter Beek;Zeitlich aufgelöste Modellierung des Energieverbrauchs bei der Elektrostahlproduktion.
Karl Reichard;Zeitlich aufgelöste Modellierung des Energieverbrauchs bei der Elektrostahlproduktion.
Dan Levine;Zeitlich aufgelöste Modellierung des Energieverbrauchs bei der Elektrostahlproduktion.
Michael Perschbacher;Wicklungsumschaltung als elektrische Getriebestufe bei Hauptspindelantrieben.
Russell Buchanan;Wicklungsumschaltung als elektrische Getriebestufe bei Hauptspindelantrieben.
Asanka G. Perera;Wicklungsumschaltung als elektrische Getriebestufe bei Hauptspindelantrieben.
Miguel-Ángel Sicilia;Ultra-thin oxide breakdown for OTP development in power technologies.
Nida Aslam;Ultra-thin oxide breakdown for OTP development in power technologies.
Reiko Heckel;Ultra-thin oxide breakdown for OTP development in power technologies.
John P. Ryan 0001;Measurements of the air mass flow and PIV at a ventilation duct test rig.
João Barroso 0001;Measurements of the air mass flow and PIV at a ventilation duct test rig.
Marius Franck;Measurements of the air mass flow and PIV at a ventilation duct test rig.
Larry H. Matthies;Techno-economic assessment of waste heat recovery for green hydrogen production: a simulation study.
Matthias Plasch;Techno-economic assessment of waste heat recovery for green hydrogen production: a simulation study.
Marc England;Techno-economic assessment of waste heat recovery for green hydrogen production: a simulation study.
Louis L. Whitcomb;Image rejection in a receiver frontend by means of BAW resonators and an image-reject architecture.
Christopher G. Atkeson;Image rejection in a receiver frontend by means of BAW resonators and an image-reject architecture.
Eliane Pinheiro Capra;Image rejection in a receiver frontend by means of BAW resonators and an image-reject architecture.
Florian Pauli;Konzepte zur Integration von Flexibilitäten in Wohn- und Nichtwohngebäuden in ein dynamisches Lastmanagement.
Hans Auer;Konzepte zur Integration von Flexibilitäten in Wohn- und Nichtwohngebäuden in ein dynamisches Lastmanagement.
Hoa Van Nguyen;Konzepte zur Integration von Flexibilitäten in Wohn- und Nichtwohngebäuden in ein dynamisches Lastmanagement.
Amir M. Ghalamzan E.;Principle of a non-contact liquid level sensor using electromagnetic-acoustic resonators.
Thor I. Fossen;Principle of a non-contact liquid level sensor using electromagnetic-acoustic resonators.
Kristoffer Gryte;Principle of a non-contact liquid level sensor using electromagnetic-acoustic resonators.
Michael Rathmair;Digital pulse-width modulator with spread-spectrum emission reduction.
Lu Chen;Digital pulse-width modulator with spread-spectrum emission reduction.
Tomás Svoboda;Digital pulse-width modulator with spread-spectrum emission reduction.
Paul Timothy Furgale;End of life management of industrial robots.
Simone Bacellar Leal Ferreira;End of life management of industrial robots.
Slawomir Koziel;End of life management of industrial robots.
Andrej Stermecki;The 'Industrial Symbiosis Gap': information asymmetries are the main challenge for industrial symbiosis - evidence from four Austrian testbeds with a focus on heat exchange.
Kyohei Otsu;The 'Industrial Symbiosis Gap': information asymmetries are the main challenge for industrial symbiosis - evidence from four Austrian testbeds with a focus on heat exchange.
Marcin Sieniek;The 'Industrial Symbiosis Gap': information asymmetries are the main challenge for industrial symbiosis - evidence from four Austrian testbeds with a focus on heat exchange.
Frits K. van Evert;Achievements, experiences, and lessons learned from the European research infrastructure ERIGrid related to the validation of power and energy systems.
Andreas Birk 0002;Achievements, experiences, and lessons learned from the European research infrastructure ERIGrid related to the validation of power and energy systems.
Bernhard Lendl;Achievements, experiences, and lessons learned from the European research infrastructure ERIGrid related to the validation of power and energy systems.
Stéphane Viollet;Erratum to: Analytische Ermittlung des Stirnraumanteils der Wicklung-Stator-Kapazität in elektrischen Maschinen zur Vorausberechnung des hochfrequenten Common-Mode-Stroms.
Tao Song 0004;Erratum to: Analytische Ermittlung des Stirnraumanteils der Wicklung-Stator-Kapazität in elektrischen Maschinen zur Vorausberechnung des hochfrequenten Common-Mode-Stroms.
Paul Backes;Erratum to: Analytische Ermittlung des Stirnraumanteils der Wicklung-Stator-Kapazität in elektrischen Maschinen zur Vorausberechnung des hochfrequenten Common-Mode-Stroms.
Dimitri Mavris;Von der Beatmungstechnik über Atemgasmonitoring zu Aerosolmessung.
Bas Westerbaan;Von der Beatmungstechnik über Atemgasmonitoring zu Aerosolmessung.
Seral Özsen;Von der Beatmungstechnik über Atemgasmonitoring zu Aerosolmessung.
Seongil Hong;BAG2-assisted analog layout synthesis for TSMC 65 nm and GPDK 45 nm.
Mohammad Reza Keyvanpour;BAG2-assisted analog layout synthesis for TSMC 65 nm and GPDK 45 nm.
Josef Haid;BAG2-assisted analog layout synthesis for TSMC 65 nm and GPDK 45 nm.
Marc Pollefeys;Development and modelling of different decarbonization scenarios of the European energy system until 2050 as a contribution to achieving the ambitious 1.5
Margrit Gelautz;Development and modelling of different decarbonization scenarios of the European energy system until 2050 as a contribution to achieving the ambitious 1.5
Gordon J. Pace;Development and modelling of different decarbonization scenarios of the European energy system until 2050 as a contribution to achieving the ambitious 1.5
Kazunori Ohno;GIS-based optimization - achieving Austria's 2030 wind energy target.
Yongsheng Luo;GIS-based optimization - achieving Austria's 2030 wind energy target.
Lie Tang;GIS-based optimization - achieving Austria's 2030 wind energy target.
Pedro Crespo Del Granado;Tomografie eines Quantenzustands - Verschränkung und Reinheit.
Bernhard Rinner;Tomografie eines Quantenzustands - Verschränkung und Reinheit.
Helen C. Shen;Tomografie eines Quantenzustands - Verschränkung und Reinheit.
